id	name	category	subCategory	price	secondaryPrice	description	image	isVeg	isAvailable	isPopular
chicken-hyderabadi	Chicken Hyderabadi	Chicken		170		Rich green masala chicken simmered with mint, coriander, yoghurt, and green chillies.	https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
mutton-kassa	Odia Mutton Kassa	Mutton		260	180	Slow roasted tender country mutton cooked in deep rich caramelized onion and garlic masala, typical Gunupur style.	https://images.unsplash.com/photo-1545247181-516773cae754?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
mutton-curry	Desi Mutton Curry with Aloo	Mutton		240	160	Homestyle flavorful goat meat curry with fried potato halves in thin, aromatic spiced broth.	https://images.unsplash.com/photo-1545247181-516773cae754?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
mutton-rogan-josh	Mutton Rogan Josh	Mutton		280		Kashmiri delicacy of tender mutton stewed with Kashmiri deggi mirch, cinnamon, and whole aromatic spices.	https://images.unsplash.com/photo-1545247181-516773cae754?w=800&auto=format&fit=crop&q=80	FALSE	FALSE	FALSE
prawn-chilli	Chilli Prawn	Prawn		230		Crispy batter fried prawns tossed with capsicum, garlic, green chillies, and Indo-Chinese sauces.	https://images.unsplash.com/photo-1559847844-5315695dadae?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
prawn-malai-curry	Prawn Malai Curry	Prawn		240		Fresh freshwater prawns cooked gently in rich coconut milk, cardamom, and mild spices.	https://images.unsplash.com/photo-1559847844-5315695dadae?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
fish-curry-odia	Odia Fish Besara (Mustard Curry)	Fish		140		Traditional Rohu fish simmered in authentic pungent ground mustard paste, raw tomato, and dry mango ambula.	https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
fish-fry-crispy	Crispy Rohu Fish Fry (2 Pcs)	Fish		130		Fresh river fish steaks marinated with turmeric, red chilli, ginger paste, and pan fried to golden crisp.	https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
fish-chilli	Chilli Fish	Fish		160		Boneless fish fillets batter fried and tossed with Chinese seasonings and bell peppers.	https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=800&auto=format&fit=crop&q=80	FALSE	FALSE	FALSE
egg-curry	Egg Curry (2 Eggs)	Egg		90		Fried boiled eggs simmered in homestyle onion-tomato gravy with warm spices.	https://images.unsplash.com/photo-1525351484163-7529414344d8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
egg-tadka	Egg Dal Tadka	Egg		100		Yellow lentils cooked with scrambled eggs, butter, roasted cumin, and garlic tadka.	https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
egg-bhurji	Masala Egg Bhurji (2 Eggs)	Egg		60		Scrambled eggs spiced with onions, green chillies, tomatoes, and chopped coriander.	https://images.unsplash.com/photo-1525351484163-7529414344d8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
tandoori-chicken	Tandoori Chicken	Tandoori		360	190	Chicken steeped in hung curd, Kashmiri deggi mirch, ginger-garlic, roasted to perfection in charcoal tandoor.	https://images.unsplash.com/photo-1599488615731-7e5c2823ff28?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
tandoori-chicken-tikka	Chicken Tikka (6 Pcs)	Tandoori		180		Smoky skewered boneless chicken chunks charred in clay oven, sprinkled with lemon and chaat masala.	https://images.unsplash.com/photo-1599488615731-7e5c2823ff28?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
tandoori-butter-naan	Butter Naan	Tandoori		35		Traditional refined flour flatbread baked in clay tandoor, brushed generously with fresh butter.	https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
tandoori-roti	Tandoori Roti (Plain/Butter)	Tandoori		15	20	Whole wheat round bread baked fresh on the inner walls of the tandoor.	https://images.unsplash.com/photo-1589301760014-d929f3979dbc?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
biryani-mutton	Mutton Dum Biryani	Biryani		240	160	Succulent pieces of spiced mutton layered with fragrant saffron basmati rice, caramelised onions, cooked on slow dum.	https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
biryani-veg	Veg Dum Biryani	Biryani		130	90	Fragrant basmati rice cooked with fresh seasonal vegetables, paneer chunks, whole spices, and saffron.	https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
biryani-egg	Egg Biryani	Biryani		130	90	Golden shallow-fried eggs resting in layers of spiced masala biryani rice with caramelized onions and herbs.	https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
meal-veg-thali	Special Veg Thali Meal	Meals		120		Complete wholesome meal with Steamed Rice, Dal, 2 Sabzi, Papad, Salad, Pickle, and Sweet.	https://images.unsplash.com/photo-1610057099443-fde8c4d50f91?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
meal-chicken-thali	Special Chicken Thali Meal	Meals		170		Hearty dinner meal with Steamed Rice, Chicken Kassa (2 pcs), Dal, Veg Curry, Papad, and Salad.	https://images.unsplash.com/photo-1588166524941-3bf61a9c41db?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
meal-fish-thali	Odia Fish Thali Meal	Meals		150		Authentic local thali with Steamed Rice, Odia Fish Curry, Dal, Bhaja, Salad, and Papad.	https://images.unsplash.com/photo-1534939561126-855b8675edd7?w=800&auto=format&fit=crop&q=80	FALSE	TRUE	FALSE
drink-fresh-lime-soda	Fresh Lime Soda (Sweet/Salt)	Soft Drinks		45		Refreshing thirst quencher prepared with freshly squeezed limes, chilled soda, mint, and black salt.	https://images.unsplash.com/photo-1513558161293-cdaf765ed2fd?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
drink-sweet-lassi	Special Sweet Lassi	Soft Drinks		60		Thick, creamy churned sweet curd topped with cardamom essence and chopped dry fruits.	https://images.unsplash.com/photo-1553530666-ba11a7da3888?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
drink-cold-drinks	Cold Drink Bottle / Can (300ml)	Soft Drinks		40		Chilled carbonated soft drinks: Thums Up, Sprite, Coca Cola, or Limca (served chilled).	https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
drink-mineral-water	Packaged Drinking Water (1 Litre)	Soft Drinks		20		Chilled pure packaged drinking water bottle.	https://images.unsplash.com/photo-1523362628745-0c100150b504?w=800&auto=format&fit=crop&q=80	TRUE	TRUE	FALSE
